VIA NUMBER,CIRCUIT JSON X,CIRCUIT JSON Y,PROJECTED X,PROJECTED Y
1,-31.5,-21.5,51,49.700001
2,-31.5,-17.5,51.081112,53.909035
3,-27.5,-21.5,55.050491,49.778149
4,-27.5,-17.5,55.099998,53.900002
5,-23.5,-21.5,59.200001,49.700001
6,-23.5,-17.5,59.200001,53.799999
7,-31.5,17.5,51.318043,90.53183
8,-31.5,21.5,51.400002,94.699997
9,-27.5,17.5,55.502472,90.442978
10,-27.5,21.5,55.599998,94.5
11,-23.5,17.5,59.663349,90.406403
12,-23.5,21.5,59.614849,94.620674
13,12.75,19.5,97.177818,92.063652
14,12.75,23.5,97.199997,96.199997
15,16.75,19.5,101.33846,92.044975
16,16.75,23.5,101.39467,96.056549
17,20.75,19.5,105.34805,91.873077
18,20.75,23.5,105.4,96.099998
19,24.75,19.5,109.32521,91.852798
20,24.75,23.5,109.4,96
21,32.5,-20,116.8,50.700001
22,32.5,-16,116.7896,54.782097
23,32.5,-12,116.8,58.900002
24,32.5,-8,116.8,63.099998
25,32.5,-4,116.9,67.199997
26,32.5,0,116.99606,71.419563
27,32.5,4,116.96235,75.587387
28,32.5,8,116.9,79.800003
29,32.5,12,117,84
30,32.5,16,117.15869,88.153015
31,32.5,20,117.2,92.300003
32,-18,-6,65.127991,65.759949
33,-18,-2,65.105438,69.90284
34,-18,2,65.205559,74.100128
35,-18,6,65.199997,78.300003
36,-14,-6,69.277,65.712273
37,-14,-2,69.27243,69.864609
38,-14,2,69.367249,74.121323
39,-14,6,69.300003,78.300003
40,-10,-6,73.439636,65.691696
41,-10,-2,73.492104,69.873703
42,-10,2,73.400002,74
43,-10,6,73.599998,78.199997
44,-6,-6,77.572311,65.617889
45,-6,-2,77.63118,69.801506
46,-6,2,77.624802,73.981956
47,-6,6,77.699997,78.199997
48,-2,-6,81.724335,65.53701
49,-2,-2,81.728745,69.757065
50,-2,2,81.800003,74
51,-2,6,81.800003,78.099998
